id;resi;nama_penerima;alamat_tujuan;kota_asal;kota_tujuan;berat;biaya;status;id_layanan;id_klasifikasi;id_kurir;created_at
91;SWF-20250325-0091;Gita Saraswati;Jl. Cempaka No. 107;Karawang;Bandung;10.885500;405992.500000;terkirim;3;2;4;2025-03-25 13:31:47
92;SWF-20250325-0092;Rahmat Hidayat;Jl. Kebon Jeruk No. 14;Depok;Bogor;1.615000;32300.000000;terkirim;2;1;5;2025-03-25 14:27:39
93;SWF-20250325-0093;Roni Wijaya;Jl. Kebon Jeruk No. 31;Yogyakarta;Bogor;14.760000;320200.000000;terkirim;2;2;6;2025-03-25 23:48:17
94;SWF-20250326-0094;Gita Saraswati;Jl. Mawar No. 79;Depok;Tangerang;62.962500;729625.000000;terkirim;1;3;6;2025-03-26 23:14:53
95;SWF-20250327-0095;Lestari Wulandari;Jl. Cempaka No. 12;Bandung;Jakarta Barat;2.408000;19264.000000;terkirim;4;1;5;2025-03-27 20:23:09
96;SWF-20250328-0096;Sri Wahyuni;Jl. Pahlawan No. 128;Karawang;Yogyakarta;26.712000;238696.000000;terkirim;4;2;5;2025-03-28 20:55:13
97;SWF-20250329-0097;Gita Saraswati;Jl. Kamboja No. 48;Karawang;Yogyakarta;3.054333;30543.333333;terkirim;1;1;6;2025-03-29 02:53:19
98;SWF-20250331-0098;Joko Susilo;Jl. Gatot Subroto No. 39;Jakarta Pusat;Depok;47.804000;578040.000000;terkirim;1;3;6;2025-03-31 20:50:46
99;SWF-20250401-0099;Budi Santoso;Jl. Cempaka No. 4;Jakarta Pusat;Bandung;26.910000;294100.000000;terkirim;1;2;6;2025-04-01 00:27:24
100;SWF-20250401-0100;Agus Setiawan;Jl. Diponegoro No. 62;Jakarta Barat;Surabaya;29.645000;1062575.000000;terkirim;3;2;5;2025-04-01 18:13:45
101;SWF-20250402-0101;Maya Kartika;Jl. Pahlawan No. 58;Depok;Yogyakarta;0.980000;7840.000000;terkirim;4;1;5;2025-04-02 01:52:49
102;SWF-20250402-0102;Budi Santoso;Jl. Thamrin No. 22;Bogor;Tangerang;14.681333;171813.333333;terkirim;1;2;4;2025-04-02 04:18:15
103;SWF-20250403-0103;Rahmat Hidayat;Jl. Mangga Dua No. 140;Bandung;Yogyakarta;3.733333;37333.333333;terkirim;1;1;4;2025-04-03 23:22:08
104;SWF-20250406-0104;Hendra Wijaya;Jl. Thamrin No. 145;Jakarta Barat;Surabaya;40.395333;423162.666667;terkirim;4;3;6;2025-04-06 14:43:40
105;SWF-20250406-0105;Yanto Sukarno;Jl. Sudirman No. 26;Tangerang;Jakarta Barat;10.070000;377450.000000;terkirim;3;2;4;2025-04-06 21:36:59
106;SWF-20250407-0106;Joko Susilo;Jl. Mawar No. 142;Tangerang;Bogor;6.380000;223300.000000;terkirim;3;1;4;2025-04-07 03:17:16
107;SWF-20250407-0107;Siti Rahma;Jl. Kenanga No. 40;Yogyakarta;Tangerang;10.733333;132333.333333;terkirim;1;2;4;2025-04-07 08:29:56
108;SWF-20250407-0108;Agus Setiawan;Jl. Diponegoro No. 23;Jakarta Timur;Bogor;51.925000;619250.000000;terkirim;1;3;4;2025-04-07 16:21:00
109;SWF-20250407-0109;Dian Sasmita;Jl. Melati No. 99;Jakarta Pusat;Bekasi;12.193333;268866.666667;terkirim;2;2;6;2025-04-07 17:53:45
110;SWF-20250407-0110;Siti Rahma;Jl. Mangga Dua No. 78;Depok;Karawang;2.604000;20832.000000;terkirim;4;1;5;2025-04-07 19:09:20
111;SWF-20250407-0111;Yanto Sukarno;Jl. Mangga Dua No. 64;Yogyakarta;Surabaya;28.956667;314566.666667;terkirim;1;2;4;2025-04-07 19:10:43
112;SWF-20250407-0112;Dian Sasmita;Jl. Kenanga No. 85;Bogor;Bekasi;14.040000;516400.000000;terkirim;3;2;6;2025-04-07 21:29:06
113;SWF-20250408-0113;Dewi Lestari;Jl. Kenanga No. 82;Depok;Semarang;25.092000;225736.000000;terkirim;4;2;5;2025-04-08 09:13:04
114;SWF-20250408-0114;Roni Wijaya;Jl. Thamrin No. 141;Jakarta Pusat;Semarang;27.324000;981340.000000;terkirim;3;2;6;2025-04-08 09:23:18
115;SWF-20250408-0115;Hendra Wijaya;Jl. Pahlawan No. 65;Surabaya;Jakarta Timur;11.754667;119037.333333;terkirim;4;2;6;2025-04-08 10:43:32
116;SWF-20250408-0116;Wati Kurnia;Jl. Sudirman No. 93;Yogyakarta;Karawang;3.143333;110016.666667;terkirim;3;1;4;2025-04-08 17:24:35
117;SWF-20250410-0117;Sri Wahyuni;Jl. Melati No. 111;Jakarta Selatan;Jakarta Pusat;5.991333;119826.666667;terkirim;2;1;5;2025-04-10 09:46:12
118;SWF-20250411-0118;Maya Kartika;Jl. Diponegoro No. 89;Jakarta Pusat;Karawang;11.350500;138505.000000;terkirim;1;2;4;2025-04-11 09:15:24
119;SWF-20250411-0119;Lestari Wulandari;Jl. Flamboyan No. 53;Karawang;Bogor;13.860000;135880.000000;terkirim;4;2;6;2025-04-11 23:43:07
120;SWF-20250412-0120;Hendra Wijaya;Jl. Sudirman No. 30;Jakarta Pusat;Tangerang;4.872167;97443.333333;terkirim;2;1;6;2025-04-12 11:02:55
121;SWF-20250412-0121;Eko Prasetyo;Jl. Pahlawan No. 104;Surabaya;Jakarta Timur;21.450000;239500.000000;terkirim;1;2;6;2025-04-12 16:03:19
122;SWF-20250412-0122;Wati Kurnia;Jl. Kenanga No. 2;Yogyakarta;Jakarta Barat;4.860000;48600.000000;terkirim;1;1;6;2025-04-12 21:08:05
123;SWF-20250416-0123;Eko Prasetyo;Jl. Ahmad Yani No. 68;Surabaya;Bogor;37.858333;402866.666667;terkirim;4;3;6;2025-04-16 15:02:18
124;SWF-20250418-0124;Dian Sasmita;Jl. Thamrin No. 77;Bandung;Surabaya;4.500000;45000.000000;terkirim;1;1;4;2025-04-18 21:56:22
125;SWF-20250419-0125;Siti Rahma;Jl. Kenanga No. 108;Bandung;Jakarta Timur;20.768000;191144.000000;terkirim;4;2;6;2025-04-19 07:09:37
126;SWF-20250419-0126;Toni Hermanto;Jl. Raya Bogor No. 36;Jakarta Timur;Tangerang;9.826667;98266.666667;terkirim;1;1;5;2025-04-19 22:22:34
127;SWF-20250420-0127;Hadi Sunyoto;Jl. Kamboja No. 105;Surabaya;Bogor;49.896000;1097920.000000;terkirim;2;3;4;2025-04-20 06:33:28
128;SWF-20250420-0128;Sari Indah;Jl. Mangga Dua No. 58;Karawang;Depok;25.647333;281473.333333;terkirim;1;2;6;2025-04-20 11:58:27
129;SWF-20250420-0129;Gita Saraswati;Jl. Sudirman No. 113;Karawang;Jakarta Barat;10.058667;377053.333333;terkirim;3;2;4;2025-04-20 14:49:22
130;SWF-20250422-0130;Eko Prasetyo;Jl. Ahmad Yani No. 61;Jakarta Barat;Semarang;17.856000;382120.000000;terkirim;2;2;4;2025-04-22 09:28:18
131;SWF-20250423-0131;Gita Saraswati;Jl. Mangga Dua No. 138;Jakarta Timur;Tangerang;16.199333;186993.333333;terkirim;1;2;4;2025-04-23 05:49:25
132;SWF-20250423-0132;Siti Rahma;Jl. Diponegoro No. 64;Jakarta Timur;Semarang;20.910000;192280.000000;terkirim;4;2;4;2025-04-23 12:20:35
133;SWF-20250423-0133;Eko Prasetyo;Jl. Gatot Subroto No. 24;Tangerang;Bandung;29.070000;257560.000000;terkirim;4;2;5;2025-04-23 21:20:00
134;SWF-20250424-0134;Eko Prasetyo;Jl. Mawar No. 17;Semarang;Karawang;23.680000;498600.000000;terkirim;2;2;5;2025-04-24 18:38:04
135;SWF-20250425-0135;Gita Saraswati;Jl. Diponegoro No. 145;Bogor;Bekasi;0.880000;7040.000000;terkirim;4;1;4;2025-04-25 11:48:47
136;SWF-20250425-0136;Budi Santoso;Jl. Cempaka No. 52;Yogyakarta;Jakarta Timur;10.800000;133000.000000;terkirim;1;2;6;2025-04-25 13:54:03
137;SWF-20250425-0137;Dewi Lestari;Jl. Sudirman No. 102;Surabaya;Depok;8.736000;87360.000000;terkirim;1;1;4;2025-04-25 20:34:41
138;SWF-20250426-0138;Maya Kartika;Jl. Pahlawan No. 133;Surabaya;Bogor;1.068833;10688.333333;terkirim;1;1;5;2025-04-26 03:22:07
139;SWF-20250426-0139;Joko Susilo;Jl. Kenanga No. 23;Yogyakarta;Jakarta Selatan;10.925000;407375.000000;terkirim;3;2;4;2025-04-26 09:42:43
140;SWF-20250429-0140;Hadi Sunyoto;Jl. Merdeka No. 43;Bogor;Bekasi;11.087667;113701.333333;terkirim;4;2;4;2025-04-29 07:36:25
141;SWF-20250430-0141;Maya Kartika;Jl. Kenanga No. 90;Tangerang;Bekasi;8.302500;83025.000000;terkirim;1;1;4;2025-04-30 19:34:28
142;SWF-20250501-0142;Hendra Wijaya;Jl. Kebon Jeruk No. 133;Bandung;Karawang;15.980000;184800.000000;terkirim;1;2;4;2025-05-01 12:33:08
143;SWF-20250502-0143;Toni Hermanto;Jl. Gatot Subroto No. 136;Jakarta Pusat;Tangerang;12.783333;127266.666667;terkirim;4;2;5;2025-05-02 05:56:40
144;SWF-20250503-0144;Budi Santoso;Jl. Gatot Subroto No. 4;Depok;Jakarta Barat;2.550000;89250.000000;terkirim;3;1;6;2025-05-03 20:34:05
145;SWF-20250504-0145;Sri Wahyuni;Jl. Gatot Subroto No. 138;Karawang;Surabaya;4.350000;152250.000000;terkirim;3;1;4;2025-05-04 09:37:45
146;SWF-20250504-0146;Lestari Wulandari;Jl. Kenanga No. 17;Depok;Semarang;7.366667;147333.333333;terkirim;2;1;4;2025-05-04 20:17:26
147;SWF-20250505-0147;Dian Sasmita;Jl. Sudirman No. 80;Surabaya;Semarang;1.466667;29333.333333;terkirim;2;1;6;2025-05-05 04:35:39
148;SWF-20250513-0148;Hadi Sunyoto;Jl. Mangga Dua No. 43;Bekasi;Jakarta Timur;2.383333;83416.666667;terkirim;3;1;5;2025-05-13 22:34:47
149;SWF-20250514-0149;Maya Kartika;Jl. Gatot Subroto No. 128;Bogor;Bandung;11.582667;256653.333333;terkirim;2;2;5;2025-05-14 03:55:47
150;SWF-20250515-0150;Agus Setiawan;Jl. Pahlawan No. 131;Jakarta Pusat;Jakarta Selatan;1.127500;9020.000000;terkirim;4;1;5;2025-05-15 21:03:25
151;SWF-20250516-0151;Gita Saraswati;Jl. Cempaka No. 58;Bekasi;Jakarta Barat;23.100000;256000.000000;terkirim;1;2;6;2025-05-16 02:47:06
152;SWF-20250519-0152;Sari Indah;Jl. Thamrin No. 58;Semarang;Karawang;2.745000;21960.000000;terkirim;4;1;5;2025-05-19 03:57:39
153;SWF-20250519-0153;Eko Prasetyo;Jl. Merdeka No. 95;Jakarta Barat;Bekasi;22.632000;817120.000000;terkirim;3;2;6;2025-05-19 07:48:15
154;SWF-20250519-0154;Siti Rahma;Jl. Merdeka No. 105;Jakarta Pusat;Depok;7.821000;273735.000000;terkirim;3;1;4;2025-05-19 12:01:46
155;SWF-20250520-0155;Roni Wijaya;Jl. Pahlawan No. 108;Bogor;Jakarta Pusat;4.410000;44100.000000;terkirim;1;1;4;2025-05-20 06:59:05
156;SWF-20250521-0156;Rahmat Hidayat;Jl. Ahmad Yani No. 130;Jakarta Timur;Yogyakarta;3.230000;25840.000000;terkirim;4;1;6;2025-05-21 14:18:42
157;SWF-20250525-0157;Lestari Wulandari;Jl. Kenanga No. 84;Bekasi;Karawang;5.434000;108680.000000;terkirim;2;1;4;2025-05-25 09:44:07
158;SWF-20250525-0158;Dewi Lestari;Jl. Flamboyan No. 120;Bekasi;Bogor;17.875000;382500.000000;terkirim;2;2;5;2025-05-25 11:05:02
159;SWF-20250526-0159;Rahmat Hidayat;Jl. Thamrin No. 78;Yogyakarta;Semarang;4.717500;94350.000000;terkirim;2;1;4;2025-05-26 18:44:53
160;SWF-20250526-0160;Hadi Sunyoto;Jl. Sudirman No. 77;Depok;Jakarta Timur;8.855167;177103.333333;terkirim;2;1;4;2025-05-26 21:10:57
161;SWF-20250527-0161;Budi Santoso;Jl. Sudirman No. 57;Jakarta Timur;Depok;11.590000;430650.000000;terkirim;3;2;4;2025-05-27 09:06:46
162;SWF-20250527-0162;Eko Prasetyo;Jl. Diponegoro No. 24;Semarang;Bekasi;4.312500;43125.000000;terkirim;1;1;4;2025-05-27 21:01:38
163;SWF-20250527-0163;Budi Santoso;Jl. Kenanga No. 110;Jakarta Timur;Tangerang;9.157500;320512.500000;terkirim;3;1;5;2025-05-27 22:57:44
